INFO - main.py - 2024-12-08 15:28:46,677 - Using device: cuda:1
INFO - main.py - 2024-12-08 15:28:46,678 - Writing log file to run/logs/0
INFO - main.py - 2024-12-08 15:28:46,679 - Exp instance id = 178228
INFO - main.py - 2024-12-08 15:28:46,679 - Exp comment = 
INFO - main.py - 2024-12-08 15:28:46,679 - Config =
INFO - anneal_runner.py - 2024-12-08 15:30:59,313 - step: 142, loss: 134.7847442626953
INFO - anneal_runner.py - 2024-12-08 15:31:00,209 - step: 143, loss: 138.1425018310547
INFO - anneal_runner.py - 2024-12-08 15:31:01,105 - step: 144, loss: 149.6630401611328
INFO - anneal_runner.py - 2024-12-08 15:31:02,002 - step: 145, loss: 148.29110717773438
INFO - anneal_runner.py - 2024-12-08 15:31:02,897 - step: 146, loss: 157.1766357421875
INFO - anneal_runner.py - 2024-12-08 15:31:03,789 - step: 147, loss: 136.41128540039062
INFO - anneal_runner.py - 2024-12-08 15:31:04,682 - step: 148, loss: 156.24246215820312
INFO - anneal_runner.py - 2024-12-08 15:31:05,573 - step: 149, loss: 148.4777374267578
INFO - anneal_runner.py - 2024-12-08 15:31:06,464 - step: 150, loss: 142.23680114746094
INFO - anneal_runner.py - 2024-12-08 15:31:07,360 - step: 151, loss: 145.37335205078125
INFO - anneal_runner.py - 2024-12-08 15:31:08,257 - step: 152, loss: 147.20465087890625
INFO - anneal_runner.py - 2024-12-08 15:31:09,148 - step: 153, loss: 136.59860229492188
INFO - anneal_runner.py - 2024-12-08 15:31:10,039 - step: 154, loss: 150.1485137939453
INFO - anneal_runner.py - 2024-12-08 15:31:10,932 - step: 155, loss: 149.2176055908203
INFO - anneal_runner.py - 2024-12-08 15:31:11,827 - step: 156, loss: 138.01251220703125
INFO - anneal_runner.py - 2024-12-08 15:31:12,719 - step: 157, loss: 144.3471221923828
INFO - anneal_runner.py - 2024-12-08 15:31:13,609 - step: 158, loss: 174.39804077148438
INFO - anneal_runner.py - 2024-12-08 15:31:14,500 - step: 159, loss: 154.19003295898438
INFO - anneal_runner.py - 2024-12-08 15:31:15,389 - step: 160, loss: 136.02572631835938
INFO - anneal_runner.py - 2024-12-08 15:31:16,282 - step: 161, loss: 145.91595458984375
INFO - anneal_runner.py - 2024-12-08 15:31:17,180 - step: 162, loss: 151.63259887695312
INFO - anneal_runner.py - 2024-12-08 15:31:18,073 - step: 163, loss: 130.32632446289062
INFO - anneal_runner.py - 2024-12-08 15:31:18,970 - step: 164, loss: 117.97969055175781
INFO - anneal_runner.py - 2024-12-08 15:31:19,871 - step: 165, loss: 138.69932556152344
INFO - anneal_runner.py - 2024-12-08 15:31:20,767 - step: 166, loss: 144.66854858398438
INFO - anneal_runner.py - 2024-12-08 15:31:21,664 - step: 167, loss: 142.16604614257812
INFO - anneal_runner.py - 2024-12-08 15:31:22,559 - step: 168, loss: 137.7386016845703
INFO - anneal_runner.py - 2024-12-08 15:31:23,454 - step: 169, loss: 133.49740600585938
INFO - anneal_runner.py - 2024-12-08 15:31:24,356 - step: 170, loss: 156.97744750976562
INFO - anneal_runner.py - 2024-12-08 15:31:25,259 - step: 171, loss: 126.08378601074219
INFO - anneal_runner.py - 2024-12-08 15:31:26,155 - step: 172, loss: 162.449462890625
INFO - anneal_runner.py - 2024-12-08 15:31:27,052 - step: 173, loss: 126.22673034667969
INFO - anneal_runner.py - 2024-12-08 15:31:27,954 - step: 174, loss: 146.69155883789062
INFO - anneal_runner.py - 2024-12-08 15:31:28,847 - step: 175, loss: 138.45416259765625
INFO - anneal_runner.py - 2024-12-08 15:31:29,738 - step: 176, loss: 115.62086486816406
INFO - anneal_runner.py - 2024-12-08 15:31:30,634 - step: 177, loss: 142.01641845703125
INFO - anneal_runner.py - 2024-12-08 15:31:31,535 - step: 178, loss: 136.10369873046875
INFO - anneal_runner.py - 2024-12-08 15:31:32,436 - step: 179, loss: 156.36048889160156
INFO - anneal_runner.py - 2024-12-08 15:31:33,332 - step: 180, loss: 124.54283905029297
INFO - anneal_runner.py - 2024-12-08 15:31:34,228 - step: 181, loss: 134.34097290039062
INFO - anneal_runner.py - 2024-12-08 15:31:35,128 - step: 182, loss: 133.10720825195312
INFO - anneal_runner.py - 2024-12-08 15:31:36,020 - step: 183, loss: 129.774658203125
INFO - anneal_runner.py - 2024-12-08 15:31:36,917 - step: 184, loss: 146.35891723632812
INFO - anneal_runner.py - 2024-12-08 15:31:37,815 - step: 185, loss: 126.19061279296875
INFO - anneal_runner.py - 2024-12-08 15:31:38,716 - step: 186, loss: 117.47981262207031
INFO - anneal_runner.py - 2024-12-08 15:31:39,619 - step: 187, loss: 122.79876708984375
INFO - anneal_runner.py - 2024-12-08 15:31:40,513 - step: 188, loss: 137.81658935546875
INFO - anneal_runner.py - 2024-12-08 15:31:41,416 - step: 189, loss: 122.501953125
INFO - anneal_runner.py - 2024-12-08 15:31:42,311 - step: 190, loss: 137.106689453125
INFO - anneal_runner.py - 2024-12-08 15:31:43,213 - step: 191, loss: 125.98304748535156
INFO - anneal_runner.py - 2024-12-08 15:31:44,111 - step: 192, loss: 131.59327697753906
