INFO - main.py - 2024-12-08 15:52:17,661 - Using device: cuda:1
INFO - main.py - 2024-12-08 15:52:17,662 - Writing log file to run/logs/tenepochs
INFO - main.py - 2024-12-08 15:52:17,662 - Exp instance id = 182172
INFO - main.py - 2024-12-08 15:52:17,662 - Exp comment = 
INFO - main.py - 2024-12-08 15:52:17,663 - Config =
INFO - anneal_runner.py - 2024-12-08 15:54:52,506 - step: 162, loss: 151.73587036132812
INFO - anneal_runner.py - 2024-12-08 15:54:53,422 - step: 163, loss: 129.91261291503906
INFO - anneal_runner.py - 2024-12-08 15:54:54,333 - step: 164, loss: 116.62007904052734
INFO - anneal_runner.py - 2024-12-08 15:54:55,250 - step: 165, loss: 137.82843017578125
INFO - anneal_runner.py - 2024-12-08 15:54:56,171 - step: 166, loss: 144.5390625
INFO - anneal_runner.py - 2024-12-08 15:54:57,089 - step: 167, loss: 142.52273559570312
INFO - anneal_runner.py - 2024-12-08 15:54:58,007 - step: 168, loss: 137.63002014160156
INFO - anneal_runner.py - 2024-12-08 15:54:58,923 - step: 169, loss: 133.6053466796875
INFO - anneal_runner.py - 2024-12-08 15:54:59,839 - step: 170, loss: 156.72381591796875
INFO - anneal_runner.py - 2024-12-08 15:55:00,763 - step: 171, loss: 125.75302124023438
INFO - anneal_runner.py - 2024-12-08 15:55:01,676 - step: 172, loss: 162.576904296875
INFO - anneal_runner.py - 2024-12-08 15:55:02,593 - step: 173, loss: 126.33383178710938
INFO - anneal_runner.py - 2024-12-08 15:55:03,504 - step: 174, loss: 146.63232421875
INFO - anneal_runner.py - 2024-12-08 15:55:04,419 - step: 175, loss: 138.77072143554688
INFO - anneal_runner.py - 2024-12-08 15:55:05,340 - step: 176, loss: 115.26614379882812
INFO - anneal_runner.py - 2024-12-08 15:55:06,262 - step: 177, loss: 142.54360961914062
INFO - anneal_runner.py - 2024-12-08 15:55:07,183 - step: 178, loss: 136.4212646484375
INFO - anneal_runner.py - 2024-12-08 15:55:08,099 - step: 179, loss: 156.3175048828125
INFO - anneal_runner.py - 2024-12-08 15:55:09,009 - step: 180, loss: 125.13075256347656
INFO - anneal_runner.py - 2024-12-08 15:55:09,927 - step: 181, loss: 134.63595581054688
INFO - anneal_runner.py - 2024-12-08 15:55:10,850 - step: 182, loss: 133.39678955078125
INFO - anneal_runner.py - 2024-12-08 15:55:11,750 - step: 183, loss: 130.04200744628906
INFO - anneal_runner.py - 2024-12-08 15:55:12,666 - step: 184, loss: 146.73519897460938
INFO - anneal_runner.py - 2024-12-08 15:55:13,581 - step: 185, loss: 126.44705200195312
INFO - anneal_runner.py - 2024-12-08 15:55:14,499 - step: 186, loss: 118.33833312988281
INFO - anneal_runner.py - 2024-12-08 15:55:15,411 - step: 187, loss: 121.7334213256836
INFO - anneal_runner.py - 2024-12-08 15:55:16,324 - step: 188, loss: 136.81756591796875
INFO - anneal_runner.py - 2024-12-08 15:55:17,239 - step: 189, loss: 121.59127807617188
INFO - anneal_runner.py - 2024-12-08 15:55:18,160 - step: 190, loss: 136.10107421875
INFO - anneal_runner.py - 2024-12-08 15:55:19,076 - step: 191, loss: 125.95558166503906
INFO - anneal_runner.py - 2024-12-08 15:55:19,796 - step: 192, loss: 130.39022827148438
INFO - anneal_runner.py - 2024-12-08 15:55:20,691 - step: 193, loss: 131.6649932861328
INFO - anneal_runner.py - 2024-12-08 15:55:21,601 - step: 194, loss: 121.57040405273438
INFO - anneal_runner.py - 2024-12-08 15:55:22,515 - step: 195, loss: 121.10997772216797
INFO - anneal_runner.py - 2024-12-08 15:55:23,420 - step: 196, loss: 122.17497253417969
INFO - anneal_runner.py - 2024-12-08 15:55:24,332 - step: 197, loss: 136.65057373046875
INFO - anneal_runner.py - 2024-12-08 15:55:25,250 - step: 198, loss: 147.47113037109375
INFO - anneal_runner.py - 2024-12-08 15:55:26,168 - step: 199, loss: 118.88374328613281
INFO - anneal_runner.py - 2024-12-08 15:55:27,080 - step: 200, loss: 132.6163330078125
INFO - anneal_runner.py - 2024-12-08 15:55:28,341 - step: 201, loss: 127.1839599609375
INFO - anneal_runner.py - 2024-12-08 15:55:29,254 - step: 202, loss: 126.36922454833984
INFO - anneal_runner.py - 2024-12-08 15:55:30,164 - step: 203, loss: 117.78721618652344
INFO - anneal_runner.py - 2024-12-08 15:55:31,074 - step: 204, loss: 128.70602416992188
INFO - anneal_runner.py - 2024-12-08 15:55:31,981 - step: 205, loss: 129.14443969726562
INFO - anneal_runner.py - 2024-12-08 15:55:32,888 - step: 206, loss: 150.1951446533203
INFO - anneal_runner.py - 2024-12-08 15:55:33,792 - step: 207, loss: 134.59266662597656
INFO - anneal_runner.py - 2024-12-08 15:55:34,698 - step: 208, loss: 135.79315185546875
INFO - anneal_runner.py - 2024-12-08 15:55:35,605 - step: 209, loss: 116.49259185791016
INFO - anneal_runner.py - 2024-12-08 15:55:36,518 - step: 210, loss: 143.14752197265625
INFO - anneal_runner.py - 2024-12-08 15:55:37,429 - step: 211, loss: 123.43389129638672
INFO - anneal_runner.py - 2024-12-08 15:55:38,339 - step: 212, loss: 121.80882263183594
INFO - anneal_runner.py - 2024-12-08 15:55:39,252 - step: 213, loss: 116.60385131835938
INFO - anneal_runner.py - 2024-12-08 15:55:40,170 - step: 214, loss: 124.57324981689453
INFO - anneal_runner.py - 2024-12-08 15:55:41,075 - step: 215, loss: 126.23281860351562
INFO - anneal_runner.py - 2024-12-08 15:55:41,980 - step: 216, loss: 116.77992248535156
INFO - anneal_runner.py - 2024-12-08 15:55:42,892 - step: 217, loss: 128.51712036132812
INFO - anneal_runner.py - 2024-12-08 15:55:43,802 - step: 218, loss: 119.5531234741211
INFO - anneal_runner.py - 2024-12-08 15:55:44,719 - step: 219, loss: 108.90548706054688
INFO - anneal_runner.py - 2024-12-08 15:55:45,631 - step: 220, loss: 118.89899444580078
INFO - anneal_runner.py - 2024-12-08 15:55:46,543 - step: 221, loss: 125.5290756225586
INFO - anneal_runner.py - 2024-12-08 15:55:47,447 - step: 222, loss: 106.15605926513672
INFO - anneal_runner.py - 2024-12-08 15:55:48,355 - step: 223, loss: 127.64846801757812
INFO - anneal_runner.py - 2024-12-08 15:55:49,264 - step: 224, loss: 99.35993957519531
INFO - anneal_runner.py - 2024-12-08 15:55:50,170 - step: 225, loss: 124.86729431152344
INFO - anneal_runner.py - 2024-12-08 15:55:51,077 - step: 226, loss: 117.79859924316406
INFO - anneal_runner.py - 2024-12-08 15:55:51,984 - step: 227, loss: 132.34507751464844
INFO - anneal_runner.py - 2024-12-08 15:55:52,897 - step: 228, loss: 127.654052734375
INFO - anneal_runner.py - 2024-12-08 15:55:53,817 - step: 229, loss: 114.7613525390625
INFO - anneal_runner.py - 2024-12-08 15:55:54,722 - step: 230, loss: 108.79115295410156
INFO - anneal_runner.py - 2024-12-08 15:55:55,639 - step: 231, loss: 129.47589111328125
INFO - anneal_runner.py - 2024-12-08 15:55:56,548 - step: 232, loss: 100.95691680908203
INFO - anneal_runner.py - 2024-12-08 15:55:57,462 - step: 233, loss: 115.12462615966797
INFO - anneal_runner.py - 2024-12-08 15:55:58,375 - step: 234, loss: 117.74609375
INFO - anneal_runner.py - 2024-12-08 15:55:59,289 - step: 235, loss: 128.35609436035156
INFO - anneal_runner.py - 2024-12-08 15:56:00,202 - step: 236, loss: 126.14581298828125
INFO - anneal_runner.py - 2024-12-08 15:56:01,120 - step: 237, loss: 114.19779968261719
INFO - anneal_runner.py - 2024-12-08 15:56:02,036 - step: 238, loss: 122.47881317138672
INFO - anneal_runner.py - 2024-12-08 15:56:02,943 - step: 239, loss: 133.03045654296875
INFO - anneal_runner.py - 2024-12-08 15:56:03,854 - step: 240, loss: 125.47786712646484
INFO - anneal_runner.py - 2024-12-08 15:56:04,760 - step: 241, loss: 109.52357482910156
INFO - anneal_runner.py - 2024-12-08 15:56:05,674 - step: 242, loss: 107.39799499511719
INFO - anneal_runner.py - 2024-12-08 15:56:06,582 - step: 243, loss: 108.36929321289062
INFO - anneal_runner.py - 2024-12-08 15:56:07,498 - step: 244, loss: 111.1012954711914
INFO - anneal_runner.py - 2024-12-08 15:56:08,408 - step: 245, loss: 116.80770874023438
INFO - anneal_runner.py - 2024-12-08 15:56:09,320 - step: 246, loss: 113.46868133544922
INFO - anneal_runner.py - 2024-12-08 15:56:10,232 - step: 247, loss: 125.90583801269531
INFO - anneal_runner.py - 2024-12-08 15:56:11,142 - step: 248, loss: 114.59700012207031
INFO - anneal_runner.py - 2024-12-08 15:56:12,052 - step: 249, loss: 111.54515075683594
INFO - anneal_runner.py - 2024-12-08 15:56:12,964 - step: 250, loss: 125.7498779296875
INFO - anneal_runner.py - 2024-12-08 15:56:13,876 - step: 251, loss: 109.11096954345703
INFO - anneal_runner.py - 2024-12-08 15:56:14,788 - step: 252, loss: 109.9531478881836
INFO - anneal_runner.py - 2024-12-08 15:56:15,705 - step: 253, loss: 100.74076843261719
INFO - anneal_runner.py - 2024-12-08 15:56:16,621 - step: 254, loss: 122.76142883300781
INFO - anneal_runner.py - 2024-12-08 15:56:17,534 - step: 255, loss: 101.63212585449219
INFO - anneal_runner.py - 2024-12-08 15:56:18,452 - step: 256, loss: 92.88636016845703
INFO - anneal_runner.py - 2024-12-08 15:56:19,369 - step: 257, loss: 118.53874206542969
INFO - anneal_runner.py - 2024-12-08 15:56:20,276 - step: 258, loss: 115.25527954101562
INFO - anneal_runner.py - 2024-12-08 15:56:21,193 - step: 259, loss: 101.00017547607422
INFO - anneal_runner.py - 2024-12-08 15:56:22,107 - step: 260, loss: 116.42420959472656
INFO - anneal_runner.py - 2024-12-08 15:56:23,023 - step: 261, loss: 126.44884490966797
INFO - anneal_runner.py - 2024-12-08 15:56:23,940 - step: 262, loss: 106.8946533203125
INFO - anneal_runner.py - 2024-12-08 15:56:24,857 - step: 263, loss: 112.79740142822266
INFO - anneal_runner.py - 2024-12-08 15:56:25,772 - step: 264, loss: 127.47459411621094
INFO - anneal_runner.py - 2024-12-08 15:56:26,689 - step: 265, loss: 122.88936614990234
INFO - anneal_runner.py - 2024-12-08 15:56:27,600 - step: 266, loss: 94.55013275146484
INFO - anneal_runner.py - 2024-12-08 15:56:28,517 - step: 267, loss: 108.8255615234375
INFO - anneal_runner.py - 2024-12-08 15:56:29,434 - step: 268, loss: 113.19251251220703
INFO - anneal_runner.py - 2024-12-08 15:56:30,357 - step: 269, loss: 122.98329162597656
INFO - anneal_runner.py - 2024-12-08 15:56:31,272 - step: 270, loss: 116.27326965332031
INFO - anneal_runner.py - 2024-12-08 15:56:32,189 - step: 271, loss: 114.4732666015625
INFO - anneal_runner.py - 2024-12-08 15:56:33,101 - step: 272, loss: 88.16766357421875
INFO - anneal_runner.py - 2024-12-08 15:56:34,023 - step: 273, loss: 121.13455200195312
INFO - anneal_runner.py - 2024-12-08 15:56:34,939 - step: 274, loss: 119.03032684326172
INFO - anneal_runner.py - 2024-12-08 15:56:35,856 - step: 275, loss: 101.06222534179688
INFO - anneal_runner.py - 2024-12-08 15:56:36,767 - step: 276, loss: 98.33451843261719
INFO - anneal_runner.py - 2024-12-08 15:56:37,683 - step: 277, loss: 102.24102020263672
